Date,Hour,Total,Flow,Dam,Wind,Solar,Jeo,ren/tot
08.08.2022,12,42.5152,1.46624,7.28479,5.95451,1.2132,0.95108,39.67950286015355
08.08.2022,13,43.69666,1.51471,7.39119,6.04656,1.21204,0.9153600000000001,39.08733527917236
08.08.2022,14,45.35625,1.57565,8.03797,6.19737,1.1710399999999999,0.91292,39.45420972853796
08.08.2022,15,46.03376,1.59052,8.22033,6.47175,1.0772599999999999,0.9121,39.69252131479158
08.08.2022,16,46.54078,1.48729,8.60989,6.84813,0.9282699999999999,0.90101,40.3400845452096
08.08.2022,17,46.28574,1.6106800000000001,9.16993,7.19099,0.67416,0.92076,42.273322193833366
08.08.2022,18,45.43397,1.46356,9.20135,7.29716,0.27401,0.94869,42.22560784364649
08.08.2022,19,45.35482,1.43756,9.425780000000001,7.22158,0.02419,0.98566,42.10086160632983
08.08.2022,20,46.36085,1.54398,10.386149999999999,7.02248,7.000000000000001e-05,1.0330899999999998,43.109153520696886
08.08.2022,21,45.79397,1.55357,10.290989999999999,6.80027,0.0,1.04643,42.999678778668894
08.08.2022,22,45.018660000000004,1.47124,9.894350000000001,6.4922200000000005,0.0,1.05522,42.0115347724699
08.08.2022,23,43.83025,1.32235,8.99252,5.993609999999999,0.0,1.06874,39.646636740607235
09.08.2022,0,41.54016,1.11094,6.72045,5.67037,0.0,1.08449,35.11361053977645
09.08.2022,1,39.798739999999995,1.1368800000000001,5.49379,5.5250900000000005,0.0,1.0951600000000001,33.294822901428546
09.08.2022,2,38.18542,1.09528,4.62551,5.55488,0.0,1.09202,32.388513731157076
09.08.2022,3,37.5145,0.99815,4.0825,5.7256,0.0,1.10552,31.752442388942942
09.08.2022,4,36.752129999999994,1.0702,3.33875,5.84737,0.00023999999999999998,1.1028900000000001,30.908276608729892
09.08.2022,5,35.71605,1.08554,2.7767399999999998,5.841819999999999,0.007019999999999999,1.11288,30.305702898276824
09.08.2022,6,34.893029999999996,1.0420999999999998,1.88331,6.0328800000000005,0.10258,1.11387,29.159806414060345
09.08.2022,7,36.354099999999995,1.0339200000000002,2.9827600000000003,5.664479999999999,0.50393,1.09528,31.029154895871446
09.08.2022,8,40.83121,1.14837,5.3397,5.31234,0.90536,1.0524,33.695229702964966
09.08.2022,9,43.20205,1.31212,6.69119,5.1433100000000005,1.08737,1.02746,35.3257542176818
09.08.2022,10,43.777519999999996,1.35775,6.90241,5.11181,1.17121,1.0061499999999999,35.518983258987724
09.08.2022,11,44.35588,1.46297,7.0063,5.08675,1.2125599999999999,0.9799500000000001,35.50494320031527
09.08.2022,12,43.03225,1.20743,6.08636,5.03684,1.21991,0.9534400000000001,33.70490736598714
09.08.2022,13,44.2113,1.30792,6.55187,5.03773,1.19944,0.9286,33.98579096294386
09.08.2022,14,45.884370000000004,1.4257,7.668100000000001,5.35902,1.1589800000000001,0.90919,36.00570303133725
09.08.2022,15,46.30698,1.4132799999999999,7.7621199999999995,5.8427299999999995,1.07108,0.89723,36.682245311613926
09.08.2022,16,46.739290000000004,1.4542599999999999,8.01729,6.2506,0.94062,0.8955,37.56640291283842
09.08.2022,17,46.49778,1.45037,8.26993,6.649649999999999,0.67262,0.9044800000000001,38.59764917808979
09.08.2022,18,45.6533,1.36782,7.61829,6.72617,0.27704,0.93709,37.075983554310426
09.08.2022,19,45.60518,1.34613,7.70808,6.85725,0.07135999999999999,0.9657100000000001,37.16360729197867
09.08.2022,20,46.477470000000004,1.4171500000000001,8.969190000000001,6.364739999999999,0.00013000000000000002,0.98787,38.16705169192729
09.08.2022,21,45.80621,1.43461,8.87062,6.39046,0.0,1.00852,38.65023978189857
09.08.2022,22,44.80034,1.35016,7.73639,6.2543,0.0,1.01845,36.5160175123671
09.08.2022,23,43.61503,1.37044,7.580100000000001,5.815270000000001,0.0,1.03359,36.22466842278912
10.08.2022,0,41.44132,1.23252,6.41495,5.493390000000001,0.0,1.0523099999999999,34.248836668330064
10.08.2022,1,39.590120000000006,1.1892,5.3276,5.17144,0.0,1.05758,32.194446493215985
10.08.2022,2,38.26305,1.1065099999999999,4.27114,5.1365,0.0,1.0571400000000002,30.241420900842986
10.08.2022,3,37.293260000000004,1.03026,3.74052,5.2967200000000005,0.0,1.0638599999999998,29.848181682159186
10.08.2022,4,36.78649,1.00608,3.60061,5.693029999999999,0.00020999999999999998,1.07158,30.912190861373293
10.08.2022,5,35.80943,1.01291,2.6734,6.19502,0.0065899999999999995,1.0863900000000002,30.646424698745548
